	('Numbers: Eight-19', 'Digit: Eight')	('Numbers: Two-12', 'Digit: Two')	('Numbers: Six-19', 'Digit: Six')	('Numbers: Zero-8', 'Digit: Zero')	('Numbers: Seven-16', 'Digit: Seven')	('Numbers: Two-22', 'Digit: Two')	('Numbers: Zero-19', 'Digit: Zero')	('Numbers: Five-12', 'Digit: Five')	('Numbers: Four-25', 'Digit: Four')	('Numbers: Five-28', 'Digit: Five')	('Numbers: One-8', 'Digit: One')	('Numbers: Two-23', 'Digit: Two')	('Numbers: Three-22', 'Digit: Three')	('Numbers: Eight-27', 'Digit: Eight')	('Numbers: Six-2', 'Digit: Six')	('Numbers: Six-27', 'Digit: Six')	('Numbers: Nine-21', 'Digit: Nine')	('Numbers: Six-29', 'Digit: Six')	('Numbers: Four-19', 'Digit: Four')	('Numbers: Four-9', 'Digit: Four')
('Pixels: pos_14-6', 'Center: 24.3664335347')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171
('Pixels: pos_14-7', 'Center: 23.9455039039')	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	82	0	0	0	252
('Pixels: pos_14-8', 'Center: 23.4734642498')	0	0	0	82	253	0	141	0	0	0	0	0	0	0	0	253	255	0	90	246
('Pixels: pos_14-9', 'Center: 22.9546627694')	0	0	0	252	50	76	253	199	114	0	0	0	0	0	58	254	255	191	248	61
('Pixels: pos_14-10', 'Center: 22.3933292124')	0	13	90	250	0	85	253	253	254	0	0	0	0	0	254	253	255	253	254	0
('Pixels: pos_14-11', 'Center: 21.7934859317')	0	184	254	250	0	85	253	136	230	0	0	0	21	59	115	253	255	253	118	0
('Pixels: pos_14-12', 'Center: 21.1588908319')	109	254	249	169	0	85	224	5	25	255	113	120	169	227	0	253	128	165	0	0
('Pixels: pos_14-13', 'Center: 20.4930065719')	252	254	10	0	0	163	0	0	0	255	254	252	196	254	0	254	191	39	0	0
('Pixels: pos_14-14', 'Center: 19.7989898732')	252	192	19	0	0	85	0	0	0	255	255	253	196	254	0	253	255	176	124	0
('Pixels: pos_14-15', 'Center: 19.0796952178')	252	0	146	0	0	215	0	0	83	0	239	252	208	254	0	253	255	253	246	0
('Pixels: pos_14-16', 'Center: 18.337688121')	253	0	254	0	0	252	0	0	254	0	53	132	253	52	25	253	255	253	254	83
('Pixels: pos_14-17', 'Center: 17.5752642009')	189	0	254	132	0	252	170	0	242	0	0	0	253	0	139	254	255	253	230	241
('Pixels: pos_14-18', 'Center: 16.7944712445')	153	0	254	250	0	152	253	0	45	0	0	0	253	0	155	253	128	253	30	252
('Pixels: pos_14-19', 'Center: 15.997132304')	0	0	254	250	183	3	253	0	0	0	0	0	246	0	242	171	0	253	0	211
('Pixels: pos_14-20', 'Center: 15.184868515')	0	0	227	250	203	0	253	0	0	0	0	0	188	0	235	0	0	68	0	14
('Pixels: pos_14-21', 'Center: 14.3591208182')	0	0	8	121	0	0	8	0	0	0	0	0	115	0	128	0	0	0	0	0
('Pixels: pos_14-22', 'Center: 13.5211701256')	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0
('Pixels: pos_14-23', 'Center: 12.6721557108')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_14-24', 'Center: 11.8130917675')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_14-25', 'Center: 10.9448821827')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_14-26', 'Center: 10.068333626')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_14-27', 'Center: 9.18416709496')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_15-0', 'Center: 24.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_15-1', 'Center: 24.5646833681')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_15-2', 'Center: 24.465233796')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_15-3', 'Center: 24.3009212057')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_15-4', 'Center: 24.0738050502')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_15-5', 'Center: 23.7865914456')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129
('Pixels: pos_15-6', 'Center: 23.442485325')	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	252
('Pixels: pos_15-7', 'Center: 23.0450343892')	0	0	0	92	102	135	12	0	0	0	0	0	0	0	0	17	0	0	0	252
('Pixels: pos_15-8', 'Center: 22.5979797464')	0	0	0	231	254	198	158	14	60	0	0	0	0	0	0	235	191	67	154	249
('Pixels: pos_15-9', 'Center: 22.1051240619')	0	98	0	252	151	246	253	161	253	0	0	0	0	0	58	254	255	249	254	220
('Pixels: pos_15-10', 'Center: 21.5702233691')	27	215	90	250	0	252	253	254	254	0	0	0	0	75	254	254	255	253	195	220
('Pixels: pos_15-11', 'Center: 20.9969045087')	120	253	254	159	0	252	230	255	253	0	0	32	20	220	75	254	255	253	3	215
('Pixels: pos_15-12', 'Center: 20.3886070341')	212	232	249	20	0	252	51	234	163	128	210	212	215	195	0	254	255	42	72	111
('Pixels: pos_15-13', 'Center: 19.7485465052')	252	79	18	0	0	253	0	163	146	255	254	253	253	201	0	254	255	162	173	192
('Pixels: pos_15-14', 'Center: 19.0796952178')	252	18	151	0	0	252	0	120	146	255	254	255	253	231	0	254	255	253	250	220
('Pixels: pos_15-15', 'Center: 18.3847763109')	252	0	254	0	0	252	0	0	208	191	195	180	253	254	83	254	255	253	254	221
('Pixels: pos_15-16', 'Center: 17.666267547')	191	0	251	0	0	252	0	0	254	64	0	0	253	154	224	254	255	230	254	243
('Pixels: pos_15-17', 'Center: 16.9264116489')	15	0	247	252	0	252	18	0	137	0	0	0	244	0	251	254	255	193	115	252
('Pixels: pos_15-18', 'Center: 16.1672307187')	0	0	254	250	0	31	237	0	18	0	0	0	194	0	155	254	128	253	0	252
('Pixels: pos_15-19', 'Center: 15.3905428726')	0	0	254	250	203	0	253	0	0	0	0	0	108	0	152	254	0	253	0	149
('Pixels: pos_15-20', 'Center: 14.5979797464')	0	0	163	250	203	0	253	0	0	0	0	0	0	0	254	186	0	150	0	0
('Pixels: pos_15-21', 'Center: 13.7910039453')	0	0	0	0	0	0	8	0	0	0	0	0	0	0	211	26	0	0	0	0
('Pixels: pos_15-22', 'Center: 12.9709258351')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_15-23', 'Center: 12.138919311')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_15-24', 'Center: 11.2960363503')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_15-25', 'Center: 10.4432202722')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_15-26', 'Center: 9.58131770684')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_15-27', 'Center: 8.71108932349')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_16-0', 'Center: 23.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_16-1', 'Center: 23.5667602046')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_16-2', 'Center: 23.4734642498')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_16-3', 'Center: 23.3191591503')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_16-4', 'Center: 23.105557244')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_16-5', 'Center: 22.8349251322')	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	144
('Pixels: pos_16-6', 'Center: 22.5099722558')	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	253
('Pixels: pos_16-7', 'Center: 22.1337305499')	0	1	0	30	61	252	76	0	64	0	0	0	0	0	0	0	0	0	0	253
('Pixels: pos_16-8', 'Center: 21.7094359264')	0	87	0	211	253	253	253	20	250	0	0	0	0	0	0	167	0	93	244	253
('Pixels: pos_16-9', 'Center: 21.2404199958')	125	243	0	252	151	226	253	47	254	0	0	0	0	0	58	254	0	253	254	253
('Pixels: pos_16-10', 'Center: 20.7300174823')	221	253	90	250	0	223	218	108	254	0	0	32	0	167	254	253	64	253	248	253
('Pixels: pos_16-11', 'Center: 20.1814919075')	252	245	254	221	0	227	61	134	254	0	62	207	0	229	104	253	128	113	236	253
('Pixels: pos_16-12', 'Center: 19.5979797464')	253	66	252	40	0	252	0	210	254	0	242	252	160	49	0	253	64	1	251	253
('Pixels: pos_16-13', 'Center: 18.9824516184')	252	0	208	0	0	253	0	253	254	128	254	252	201	22	0	254	0	162	254	253
('Pixels: pos_16-14', 'Center: 18.337688121')	252	0	254	0	0	252	0	251	254	255	241	119	201	177	82	253	0	253	254	253
('Pixels: pos_16-15', 'Center: 17.666267547')	252	0	255	0	0	252	0	203	254	255	88	25	239	254	249	219	255	253	254	255
('Pixels: pos_16-16', 'Center: 16.9705627485')	253	0	108	0	0	252	0	105	254	255	0	0	253	155	217	253	255	97	241	253
('Pixels: pos_16-17', 'Center: 16.2527446866')	35	0	110	90	0	252	0	0	247	64	0	0	214	0	60	254	255	115	23	226
('Pixels: pos_16-18', 'Center: 15.5147905889')	0	0	254	250	21	16	236	0	159	0	0	0	0	0	0	253	0	253	0	153
('Pixels: pos_16-19', 'Center: 14.7584950497')	0	0	234	250	223	0	253	0	0	0	28	0	0	0	37	253	0	253	0	0
('Pixels: pos_16-20', 'Center: 13.9854827967')	0	0	45	250	162	0	253	0	0	0	0	0	0	0	254	253	0	150	0	0
('Pixels: pos_16-21', 'Center: 13.1972221816')	0	0	0	163	0	0	8	0	0	0	0	0	0	0	120	176	0	0	0	0
('Pixels: pos_16-22', 'Center: 12.395038729')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_16-23', 'Center: 11.5801282942')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_16-24', 'Center: 10.7535695427')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_16-25', 'Center: 9.91633558714')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_16-26', 'Center: 9.0693047015')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_16-27', 'Center: 8.2132700935')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_17-0', 'Center: 22.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_17-1', 'Center: 22.5685933805')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_17-2', 'Center: 22.4807369778')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_17-3', 'Center: 22.3353032448')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_17-4', 'Center: 22.1337305499')	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0
('Pixels: pos_17-5', 'Center: 21.8779345998')	0	0	0	0	0	197	0	0	0	0	0	0	176	0	0	0	0	0	0	44
('Pixels: pos_17-6', 'Center: 21.5702233691')	0	0	0	0	0	252	0	0	0	0	0	0	9	0	0	0	0	0	0	77
('Pixels: pos_17-7', 'Center: 21.2132034356')	0	87	0	31	0	252	76	93	84	0	0	0	0	0	0	0	0	12	0	77
('Pixels: pos_17-8', 'Center: 20.8096855184')	110	253	0	213	102	190	253	89	254	0	0	0	0	0	0	93	0	206	210	77
('Pixels: pos_17-9', 'Center: 20.3625956848')	253	253	0	254	61	12	253	0	246	0	0	1	0	45	58	254	0	253	254	77
('Pixels: pos_17-10', 'Center: 19.8748968231')	253	239	90	232	0	0	168	0	174	0	0	129	0	202	254	253	0	253	254	77
('Pixels: pos_17-11', 'Center: 19.3495230151')	253	63	254	80	0	29	0	0	187	0	86	252	0	241	72	253	0	59	249	77
('Pixels: pos_17-12', 'Center: 18.7893276998')	145	0	254	0	0	252	0	8	223	0	254	252	0	25	0	253	0	0	238	77
('Pixels: pos_17-13', 'Center: 18.1970451874')	73	0	254	0	0	253	0	36	180	0	254	252	0	0	18	254	0	134	148	77
('Pixels: pos_17-14', 'Center: 17.5752642009')	253	0	254	0	0	252	0	107	248	64	189	0	0	12	247	253	0	253	212	153
('Pixels: pos_17-15', 'Center: 16.9264116489')	253	0	193	0	0	252	0	204	254	255	0	0	183	254	159	220	255	253	254	253
('Pixels: pos_17-16', 'Center: 16.2527446866')	255	0	148	0	0	252	0	217	254	255	0	0	253	249	14	253	255	219	101	235
('Pixels: pos_17-17', 'Center: 15.5563491861')	35	0	240	92	0	252	0	9	251	255	0	0	214	4	0	254	128	253	0	32
('Pixels: pos_17-18', 'Center: 14.8391429402')	0	0	254	252	51	140	110	0	154	0	28	0	0	0	7	253	0	253	0	0
('Pixels: pos_17-19', 'Center: 14.1028821785')	0	0	46	252	253	0	253	0	0	0	104	0	0	0	201	253	0	237	0	0
('Pixels: pos_17-20', 'Center: 13.3491702496')	0	0	0	212	142	0	132	0	0	0	0	27	0	0	254	253	0	66	0	0
('Pixels: pos_17-21', 'Center: 12.5794675742')	0	0	0	163	0	0	3	0	0	0	0	37	0	0	69	216	0	0	0	0
('Pixels: pos_17-22', 'Center: 11.7951021975')	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	53	0	0	0	0
('Pixels: pos_17-23', 'Center: 10.9972804543')	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0
('Pixels: pos_17-24', 'Center: 10.1870974067')	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0
('Pixels: pos_17-25', 'Center: 9.36554683078')	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0
('Pixels: pos_17-26', 'Center: 8.53353061243')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_17-27', 'Center: 7.69186747936')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_18-0', 'Center: 21.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_18-1', 'Center: 21.5702233691')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_18-2', 'Center: 21.4872094702')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_18-3', 'Center: 21.3496921556')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_18-4', 'Center: 21.1588908319')	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	0
('Pixels: pos_18-5', 'Center: 20.9164380542')	0	0	0	0	0	198	0	0	0	0	0	0	193	0	0	0	0	0	0	0
('Pixels: pos_18-6', 'Center: 20.6243137854')	0	98	0	0	0	253	0	97	0	0	0	0	6	0	0	0	0	0	0	0
('Pixels: pos_18-7', 'Center: 20.2847718306')	42	243	0	151	0	190	76	180	24	0	0	0	0	0	0	0	0	88	0	0
('Pixels: pos_18-8', 'Center: 19.9002641429')	232	253	0	250	0	0	253	27	73	0	0	21	0	0	0	25	0	253	75	0
('Pixels: pos_18-9', 'Center: 19.4733679489')	252	186	0	252	0	0	253	0	52	0	0	144	0	116	35	254	0	253	173	0
('Pixels: pos_18-10', 'Center: 19.0067194645')	200	69	90	149	0	89	168	0	0	0	0	252	0	246	239	253	0	253	86	0
('Pixels: pos_18-11', 'Center: 18.5029566367')	179	0	254	0	0	207	0	0	0	0	106	252	0	84	147	253	0	59	36	0
('Pixels: pos_18-12', 'Center: 17.9646720937')	20	0	254	0	0	253	0	0	0	0	254	252	0	0	1	253	0	0	0	0
('Pixels: pos_18-13', 'Center: 17.3943764353')	31	0	254	0	0	255	0	0	38	0	254	252	0	0	5	254	0	76	24	74
('Pixels: pos_18-14', 'Center: 16.7944712445')	211	0	235	0	0	253	0	21	240	0	168	145	0	6	155	253	191	231	245	214
('Pixels: pos_18-15', 'Center: 16.1672307187')	252	0	115	0	0	190	0	218	254	64	0	144	183	254	72	253	255	253	250	240
('Pixels: pos_18-16', 'Center: 15.5147905889')	253	0	238	0	0	253	20	126	117	255	0	144	253	254	0	253	255	253	59	114
('Pixels: pos_18-17', 'Center: 14.8391429402')	35	0	254	252	0	253	174	4	64	255	0	144	127	5	4	254	0	253	0	0
('Pixels: pos_18-18', 'Center: 14.1421356237')	0	0	225	250	31	255	239	0	0	191	40	145	0	0	193	253	0	242	0	0
('Pixels: pos_18-19', 'Center: 13.4254750898')	0	0	4	250	232	27	147	0	0	0	91	144	0	0	253	253	0	113	0	0
('Pixels: pos_18-20', 'Center: 12.6907316523')	0	9	0	49	102	0	5	0	0	0	0	221	0	0	122	253	0	0	0	0
('Pixels: pos_18-21', 'Center: 11.9393463746')	0	75	0	0	0	0	0	0	0	0	0	252	0	0	6	254	0	0	0	0
('Pixels: pos_18-22', 'Center: 11.1726389393')	0	75	0	0	0	0	0	0	0	0	0	253	0	0	0	115	0	0	0	0
('Pixels: pos_18-23', 'Center: 10.3918160134')	0	75	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0
('Pixels: pos_18-24', 'Center: 9.59797974645')	0	75	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0
('Pixels: pos_18-25', 'Center: 8.79213614495')	0	0	0	0	0	0	0	0	0	0	0	252	0	0	0	0	0	0	0	0
('Pixels: pos_18-26', 'Center: 7.97520314476')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_18-27', 'Center: 7.14801826727')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_19-0', 'Center: 20.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_19-1', 'Center: 20.571682156')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_19-2', 'Center: 20.4930065719')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_19-3', 'Center: 20.3625956848')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_19-4', 'Center: 20.1814919075')	0	0	0	0	0	76	0	0	0	0	0	0	255	0	0	0	0	0	0	0
('Pixels: pos_19-5', 'Center: 19.9510970421')	0	75	0	0	0	246	0	0	0	0	0	0	253	0	0	0	0	0	0	0
('Pixels: pos_19-6', 'Center: 19.6731209013')	27	240	0	0	0	226	5	195	0	0	0	0	12	0	0	0	0	0	0	0
('Pixels: pos_19-7', 'Center: 19.3495230151')	221	253	0	60	0	12	155	173	0	0	0	0	0	0	0	0	0	138	0	0
('Pixels: pos_19-8', 'Center: 18.9824516184')	252	253	0	221	0	85	253	0	0	0	0	99	0	42	0	0	0	253	0	0
('Pixels: pos_19-9', 'Center: 18.5741837048')	241	56	0	252	0	210	253	0	0	0	0	253	0	248	0	229	0	253	0	0
('Pixels: pos_19-10', 'Center: 18.1270691929')	61	13	90	210	0	246	168	0	0	64	0	253	0	220	216	254	0	253	0	0
('Pixels: pos_19-11', 'Center: 17.6434813463')	0	30	254	60	0	252	0	0	0	0	216	253	0	0	254	254	0	250	0	0
('Pixels: pos_19-12', 'Center: 17.1257746922')	0	30	254	0	0	252	0	53	0	0	254	253	0	0	97	254	0	249	0	24
('Pixels: pos_19-13', 'Center: 16.57625088')	73	30	254	0	0	215	0	91	53	0	245	253	9	0	0	254	0	252	133	221
('Pixels: pos_19-14', 'Center: 15.997132304')	252	30	254	0	0	42	0	193	254	0	51	255	64	109	0	254	255	253	254	243
('Pixels: pos_19-15', 'Center: 15.3905428726')	252	31	254	0	0	12	102	253	251	0	0	253	228	254	13	254	255	253	189	57
('Pixels: pos_19-16', 'Center: 14.7584950497')	253	30	254	0	0	52	170	59	57	128	0	253	247	254	73	254	191	253	0	0
('Pixels: pos_19-17', 'Center: 14.1028821785')	35	30	179	252	0	252	253	0	0	255	0	253	73	5	225	254	0	241	0	0
('Pixels: pos_19-18', 'Center: 13.4254750898')	0	30	30	250	0	253	253	0	0	255	35	255	0	0	254	254	0	105	0	0
('Pixels: pos_19-19', 'Center: 12.7279220614')	0	163	0	250	203	27	139	0	0	128	80	253	0	0	121	254	0	0	0	0
('Pixels: pos_19-20', 'Center: 12.0117512982')	0	188	0	49	203	0	0	0	0	0	0	253	0	0	0	254	0	0	0	0
('Pixels: pos_19-21', 'Center: 11.2783752294')	0	253	0	0	0	0	0	0	0	0	0	253	0	0	0	255	0	0	0	0
('Pixels: pos_19-22', 'Center: 10.5290960389')	0	253	0	0	0	0	0	0	0	0	0	255	0	0	0	90	0	0	0	0
('Pixels: pos_19-23', 'Center: 9.76511196609')	0	253	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0
('Pixels: pos_19-24', 'Center: 8.98752401642')	0	235	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0
('Pixels: pos_19-25', 'Center: 8.19734281023')	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0
('Pixels: pos_19-26', 'Center: 7.39549537024')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_19-27', 'Center: 6.58283170801')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_20-0', 'Center: 19.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_20-1', 'Center: 19.5729953519')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_20-2', 'Center: 19.4982285042')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_20-3', 'Center: 19.3742313303')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_20-4', 'Center: 19.2019016921')	0	0	0	0	0	85	0	0	0	0	0	0	174	0	0	0	0	0	0	0
('Pixels: pos_20-5', 'Center: 18.9824516184')	0	184	0	0	0	252	0	0	0	0	0	0	253	0	0	0	0	0	0	0
('Pixels: pos_20-6', 'Center: 18.7173667286')	120	253	0	0	0	246	3	196	0	0	0	0	161	0	0	0	0	0	0	0
('Pixels: pos_20-7', 'Center: 18.408359646')	252	253	0	0	0	197	128	254	0	0	0	0	103	0	0	0	0	13	0	0
('Pixels: pos_20-8', 'Center: 18.0573205179')	252	253	0	202	0	253	253	176	0	0	0	46	27	99	0	0	0	178	0	0
('Pixels: pos_20-9', 'Center: 17.666267547')	97	253	0	252	0	252	253	169	0	0	0	221	13	254	0	15	0	253	0	0
('Pixels: pos_20-10', 'Center: 17.2372999714')	0	183	13	250	0	252	228	254	0	191	0	252	27	125	79	216	0	253	0	0
('Pixels: pos_20-11', 'Center: 16.7725553254')	0	253	182	221	0	245	179	255	0	255	216	252	27	0	244	253	0	253	0	8
('Pixels: pos_20-12', 'Center: 16.2741721671')	0	253	254	40	0	195	179	254	0	128	254	252	27	0	248	253	0	253	16	180
('Pixels: pos_20-13', 'Center: 15.7442588627')	73	253	254	0	0	31	179	254	81	64	102	252	152	45	226	254	128	253	237	252
('Pixels: pos_20-14', 'Center: 15.184868515')	252	253	254	0	0	0	179	248	254	0	0	253	253	225	226	253	255	253	254	119
('Pixels: pos_20-15', 'Center: 14.5979797464')	252	254	254	123	0	0	245	117	213	0	0	252	253	254	231	253	191	247	69	0
('Pixels: pos_20-16', 'Center: 13.9854827967')	253	253	176	202	0	7	253	0	0	0	0	252	194	160	254	253	0	157	0	0
('Pixels: pos_20-17', 'Center: 13.3491702496')	35	253	41	252	0	55	253	0	0	128	0	252	0	2	243	254	0	47	0	0
('Pixels: pos_20-18', 'Center: 12.6907316523')	0	253	0	250	0	56	219	0	0	255	0	253	0	0	115	253	0	0	0	0
('Pixels: pos_20-19', 'Center: 12.0117512982')	0	253	0	250	203	6	41	0	0	128	0	231	0	0	6	253	0	0	0	0
('Pixels: pos_20-20', 'Center: 11.313708499')	0	253	0	49	203	0	0	0	0	0	0	179	0	0	0	253	0	0	0	0
('Pixels: pos_20-21', 'Center: 10.5979797464')	0	253	0	0	0	0	0	0	0	0	0	97	0	0	0	190	0	0	0	0
('Pixels: pos_20-22', 'Center: 9.86584225181')	0	253	0	0	0	0	0	0	0	0	0	35	0	0	0	2	0	0	0	0
('Pixels: pos_20-23', 'Center: 9.11847843819')	0	149	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
('Pixels: pos_20-24', 'Center: 8.35698104282')	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_20-25', 'Center: 7.58235855928')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_20-26', 'Center: 6.79554081273')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_20-27', 'Center: 5.99738451362')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_21-0', 'Center: 18.5979797464')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_21-1', 'Center: 18.5741837048')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_21-2', 'Center: 18.5029566367')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_21-3', 'Center: 18.3847763109')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
('Pixels: pos_21-4', 'Center: 18.22042142')	0	0	0	0	0	85	0	0	0	0	0	0	51	0	0	0	0	0	0	0
('Pixels: pos_21-5', 'Center: 18.0109466015')	0	255	0	0	0	252	0	0	0	0	0	0	231	0	0	0	0	0	0	0
('Pixels: pos_21-6', 'Center: 17.7576500786')	182	253	0	0	0	252	0	12	0	0	0	0	252	0	0	0	0	0	0	0
('Pixels: pos_21-7', 'Center: 17.4620361253')	253	253	0	123	0	252	76	153	0	0	0	0	253	0	0	0	0	0	0	0
('Pixels: pos_21-8', 'Center: 17.1257746922')	253	253	0	243	0	253	253	245	0	0	0	0	253	52	0	0	0	47	0	0
('Pixels: pos_21-9', 'Center: 16.7506604289')	35	253	0	255	0	252	253	253	0	0	0	125	200	254	0	0	0	196	0	0
('Pixels: pos_21-10', 'Center: 16.3385730472')	0	253	0	252	0	198	253	253	0	128	55	215	253	128	0	25	0	253	0	0
('Pixels: pos_21-11', 'Center: 15.8914405642')	0	253	58	252	0	74	253	238	0	255	239	215	253	3	114	96	0	253	0	136
